Dystans (m),Wysokość (m)
1819.354497920611,606.0945434570312
1824.8676933688553,604.5465698242188
1830.3808888170997,603.1810302734375
1835.894084265344,601.8338623046875
1841.4072797135882,600.50927734375
1846.9204751618324,599.5419311523438
1852.4336706100767,598.61279296875
1857.9468660583211,597.714599609375
1863.4600615065654,597.0906372070312
1868.9732569548096,596.5543212890625
1874.4864524030538,596.0421752929688
1879.999647851298,595.697998046875
1885.5128432995423,595.4366455078125
1891.0260387477867,595.1586303710938
1896.539234196031,595.1767578125
1902.0524296442752,595.566162109375
1907.5656250925194,595.8939819335938
1913.0788205407637,596.3778076171875
1918.5920159890081,597.5299682617188
1924.1052114372524,598.70166015625
1929.6184068854966,599.9097900390625
1935.1316023337408,601.4977416992188
1940.644797781985,603.16796875
1946.1579932302295,604.7986450195312
1951.6711886784738,606.2213134765625
1957.184384126718,607.6032104492188
1962.6975795749622,608.9700927734375
1968.2107750232065,610.1514892578125
1973.723970471451,611.261474609375
1979.2371659196951,612.3800048828125
1984.7503613679394,613.4794311523438
1990.2635568161836,614.5558471679688
1995.7767522644278,615.6348266601562
2001.289947712672,616.69091796875
2006.8031431609165,617.6895751953125
2012.3163386091608,618.680908203125
2017.829534057405,619.5759887695312
2023.3427295056492,619.9364013671875
2028.8559249538935,620.3344116210938
2034.369120402138,620.77001953125
2039.8823158503822,621.6985473632812
2045.3955112986264,622.6553955078125
2050.908706746871,623.6172485351562
2056.421902195115,625.0411376953125
2061.9350976433593,626.5802001953125
2067.4482930916033,628.0949096679688
2072.961488539848,629.5283203125
2078.4746839880922,630.8916015625
2083.9878794363362,632.2235107421875
2089.5010748845807,633.5682983398438
2095.0142703328247,634.994873046875
2100.527465781069,636.457275390625
2106.0406612293136,637.97265625
2111.5538566775576,639.596435546875
2117.067052125802,641.2742309570312
2122.580247574046,643.0079345703125
2128.0934430222906,644.8455810546875
2133.606638470535,646.7352905273438
2139.119833918779,648.6771850585938
2144.6330293670235,651.4238891601562
2150.1462248152675,654.6075439453125
2155.659420263512,657.9924926757812
2161.1726157117564,662.5804443359375
2166.6858111600004,667.6843872070312
2172.199006608245,672.7422485351562
2177.712202056489,677.4837036132812
2183.2253975047333,681.7575073242188
2188.7385929529773,685.80810546875
2194.251788401222,688.9623413085938
2199.7649838494663,690.4283447265625
2205.2781792977103,691.85693359375
2210.7913747459547,693.147216796875
2216.3045701941987,693.6339721679688
2221.817765642443,694.116455078125
2227.3309610906877,694.5947265625
2232.8441565389317,694.09765625
2238.357351987176,693.4125366210938
2243.87054743542,692.6085815429688
2249.3837428836646,690.78955078125
2254.896938331909,688.4349365234375
2260.410133780153,685.9302978515625
2265.9233292283975,683.1553955078125
2271.4365246766415,680.23876953125
2276.949720124886,677.3792114257812
2282.4629155731304,674.7943115234375
2287.9761110213744,672.70556640625
2293.489306469619,670.7908935546875
2299.002501917863,669.2978515625
2304.5156973661074,668.9415893554688
2310.028892814352,668.6448364257812
2315.542088262596,668.4057006835938
2321.0552837108403,667.9393310546875
2326.5684791590843,667.34130859375
2332.0816746073288,666.6117553710938
2337.594870055573,665.6752319335938
2343.108065503817,664.6149291992188
2348.6212609520617,663.4490356445312
2354.1344564003057,662.1406860351562
2359.64765184855,660.77587890625
2365.1608472967946,659.3955078125
2370.6740427450386,657.876953125
2376.187238193283,656.178466796875
2381.700433641527,654.483154296875
2387.2136290897715,652.5602416992188
2392.726824538016,650.0165405273438
2398.24001998626,647.4602661132812
2403.7532154345045,644.8164672851562
2409.2664108827485,641.4234008789062
2414.779606330993,638.068603515625
2420.2928017792374,634.7520751953125
